Name,Address,Type,Description,Image_URL
"Runza","7131 S 27th St, Lincoln, NE 68512","Restaurant","Founded in Lincoln, this family-owned restaurant chain has become a Nebraska staple for many generations. The food is comforting and unique, keeping customers both near and far coming back to Nebraska. It's my first stop shop once I land in Nebraska.","https://www.runza.com/_next/image?url=https%3A%2F%2Fdrupal.runza.com%2Fsites%2Fdefault%2Ffiles%2F_images%2Fgeneral%2Fnew-store-new-logo-1200x675.jpg&w=3840&q=75"
"Southwest High School","7001 S 14th St, Lincoln, NE 68512","School","A highly-rated high school located in the southwestern corner of Lincoln. The school's mascot of the Southwest Silverhawks has lead the school to both academic and athletic success. Not to mention, it is my alma mater.","https://lsw.lps.org/wp-content/uploads/sites/74/2020/03/20200307-DSC_0092-768x510.jpg"
"Bagels & Joe","4701 Old Cheney Rd, Lincoln, NE 68516","Restaurant","Bagels & Joe is the definition of a Lincoln staple. It's where you go to study, catch up with friends, or just sit and exist for a while. It feels cozy and local in the best way, and it's always been one of my favorite low-key hangout spots.","https://bagelsandjoe.com/wp-content/uploads/2021/06/foundryoutside-1536x2048.jpg"
"Hiro 88","5730 Hidecote Dr, Lincoln, NE 68516","Restaurant","This Asian and sushi spot is the go-to for a casual brunch, date night, or celebration. Their extensive menu has something for anyone to enjoy. My favorite menu items are the crab rangoons, Ebi Tempura roll, and the Crazy Horse roll.","https://hiro88.com/file/2015/11/hiro88-stills-lincoln-lunch.jpg"
"Sheldon Museum of Art","415 N 12th St, Lincoln, NE 68588","Museum","The Sheldon is such an underrated gem in Lincoln. It's quiet, clean, and surprisingly impressive for a city our size. I've always loved walking through it because it feels calm and inspiring at the same time.","https://visitnebraska.com/sites/default/files/styles/listing_slideshow/public/listing_images/profile/3388/Sheldon_Museum_of_Art_Great_Hall-29jpg1492116910.jpg?itok=zeFK74Xf"
"Holmes Park","S 70th Street & Normal Blvd, Lincoln, NE 68506","Park","Holmes Lake is where you go when you need fresh air. Whether it's walking, running, or just sitting by the water, it feels like Lincoln's reset button. During the pandemic, my friends and I would meet up in our cars and watch the sunset.","https://www.lincoln.ne.gov/files/sharedassets/public/v/2/parks-amp-rec/parks-amp-facilities/parks/lpr-park-holmestrail.jpg?dimension=pageimage&w=480"
"St Peter Catholic Church","4500 Duxhall Dr, Lincoln, NE 68516","Church","This church has been a place many monumental moments for me. I was baptized here as a baby and even went to school here. The church has been through many renovations, but it will always feel familiar to me.","https://d7dmb23lnttdm.cloudfront.net/images/stories/parish/iuhiug.jpg?1766181912"
"Lied Center","301 N 12th St, Lincoln, NE 68588","Cultural Site","The Lied Center is where Lincoln feels bigger than it is. From Broadway tours to concerts and performances, it brings in events that make the city feel connected to something larger. I used to perform in the Nutcracker on the Lied stage.","https://news.unl.edu/sites/default/files/styles/wide/public/media/images/20161202-liedcenter-unlt.jpg?itok=gf16JXI2"
"Morrill Hall","645 N 14th St, Lincoln, NE 68588","Cultural Site","Morrill Hall is most known for their iconic giant mammoth statue guarding the front doors. I remember going on field trips to the planetarium as a child.","https://museum.unl.edu/assets/images/bddae125-ec9c-42db-be3c-49823a814716.jpg"
"Pioneers Park","3201 S Coddington Ave, Lincoln, NE 68522","Park","Pioneers Park feels wild in the best way. The trails, open fields, and even the bison make it feel like you're outside the city without actually leaving it. It's always been a go-to for walks and just being outside.","https://assets.simpleviewinc.com/simpleview/image/upload/c_limit,q_75,w_1200/v1/crm/lincoln/02_126E6B73-FDD8-CBA6-7E0EEC359824E487-126e6ac3ecc100e_126e6e46-c7e5-c569-e4ca993f95c19335.png"
"Pinewood Bowl Theater","3201 S Coddington Ave, Lincoln, NE 68522","Cultural Site","The Pinewood Bowl Theater stage is home to the Pinewood Performing Arts company. This outdoor stage hosts concerts, plays, and musicals. During the pandemic, my dance studio's recital was at the theater.","https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,f_avif,g_xy_center,h_450,q_65,w_1440,x_2016,y_1585/v1/clients/lincoln/Pinewood_22_1_182d83e0-ba3d-423a-abdc-38d31a19add9.jpg"
"UNL Dairy Store","114 Food Industry Complex, Lincoln, NE 68583","Restaurant","Located on East Campus, the UNL Dairy Store serves fresh, university-made ice cream that has become one of Lincoln's most beloved local traditions. My favorite flavor is the classic strawberry.","https://dairystore.unl.edu/sites/unl.edu.ianr.dairy-store/files/styles/16_9_3192x1796/public/media/image/UNL-Dairy-Store-Hero-2.jpg?itok=2afsPguQ"
"Bob Devaney Sports Center","1600 Court St, Lincoln, NE 68588","Cultural Site","Home to Nebraska basketball and the powerhouse, national championship-winning volleyball team, the Bob Devaney Center is where Husker pride feels loud and electric. The arena continuously hosts sold out seasons.","https://gray-koln-prod.gtv-cdn.com/resizer/v2/WP5TKFSODFAALAG6R7CY46C32U.jpg?auth=adf9224675e829559c4e45e4559677de7bf7ca1c6f6035f2abb53629bad18fc8&width=1600&height=900&smart=true"
"HJ Dance","6031 S 58th St, Lincoln, NE 68516","Local Business","My hometown dance studio where I grew up dancing, making memories, and gaining a lifelong family. Their competition team is nationally award-winning, and their instructors foster a community of support and love.","https://images.squarespace-cdn.com/content/v1/5f0f34bc16c8ab21fe51e619/1595559892925-KW98CCS9VYNNIIW5NUPW/homepage_girls_photo.jpg"
